代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
E010400,14,蔬菜,荸齊,79,77.9,2,0.1,18.8,0.7,2.1,1.2,,4.7,,0,0.02,0.6,,,7,25,450,12,64,0.7,0.4,4
E011400,15,蔬菜,球莖甘藍,23,93.5,1.7,0.5,3.6,0.7,1.3,0.7,,0,,0.02,0.01,0.3,0.04,,89,16,280,11,43,0.2,0.2,28
E012400,16,蔬菜,麻竹筍,21,93.1,2.4,0.1,3.6,0.6,2,0.8,,0.7,,0.02,0.09,0.3,,,3,8,280,9,31,0.4,0.4,9
E013400,17,蔬菜,黃豆芽,37,88,7.1,0.7,3.3,0.8,3,0.9,,275,,0.01,0.01,0.4,,,13,6,55,20,63,0.8,0.5,29
E014400,18,蔬菜,嫩薑,21,94.3,0,0.3,4.8,0.5,1.4,0.6,,3.3,,0,0.01,1.03,,,11,12,270,15,22,0.4,0.2,14
E015400,19,蔬菜,綠豆芽,33,90.6,3.1,0.5,5.4,0.6,1.7,0.4,,0,,0.03,0.2,0.31,0.05,,183.6,34,190,22,42,0.8,0.3,147
E016400,20,蔬菜,綠蘆筍,25,92.9,0.3,0.1,5.9,0.8,1.8,0.8,,318.3,,0.05,0.2,1,,,11,15,280,16,65,1.9,0.2,20
E016502,21,蔬菜,綠蘆筍果汁,35,91,0.1,0,8.9,0.1,0,0.1,,0,,0.01,0.03,0.06,0,,0,11,5,1,6,0.2,0.1,2
E017400,22,蔬菜,薑,20,94.3,0.7,0.2,4.2,0.7,2,0.6,,0,,0,0.01,0.3,0.01,,3,14,280,18,24,0.4,0.2,17
E018400,23,蔬菜,鵝菜心,16,95,1,0.2,3.1,0.5,1.2,0.7,,60,,0.03,0.01,0.7,,,4,22,310,16,18,0.3,0.2,16
E019400,24,蔬菜,蘆筍,27,92,2.3,0.2,4.9,0.7,1.9,0.6,,81.7,,0.16,0.07,0.6,0.06,,16,6,220,11,48,0.6,0.6,11
E020400,25,蔬菜,紅蔥頭,87,76,3.9,0.3,19,0.9,2.9,0.8,,0.2,,0.09,0.04,0.7,0.05,,3,11,310,19,67,0.7,0.5,20
E021400,26,蔬菜,韭菜,27,92.2,2,0.6,4.3,0.9,2.4,0.9,,387.5,,0.03,0.08,0.4,0.02,,12,4,360,20,34,1.3,0.6,56
E022400,27,蔬菜,韭菜黃,17,95,1.4,0.2,3,0.7,1.7,0.4,,133.3,,0.05,0.03,0.61,0.04,,7,6,140,9,30,0.3,0.3,14
E023400,28,蔬菜,洋蔥,41,89.1,1,0.4,9,0.5,1.6,0.5,,0,,0.03,0.01,0.4,0.02,,5,0,150,11,30,0.3,0.2,25
E024400,29,蔬菜,青蔥,28,92.2,1.5,0.3,5.5,1,2.6,0.6,,101.7,,0.05,0.06,0.4,0.02,,15,5,160,18,28,1.4,0.4,81
E025400,30,蔬菜,青蒜,36,89.5,2.8,0.4,6.5,1.3,3.5,0.9,,300,,0.04,0.07,0.7,0.04,,40,6,300,15,43,2.2,0.4,82
E026400,31,蔬菜,小白菜,13,95.7,1,0.3,2.1,0.4,1.8,0.9,,236.7,,0.02,0.04,0.5,0.03,,40,40,240,15,37,1.4,0.3,106
E027400,32,蔬菜,九層塔,28,91,3,0.5,4.1,0.9,3.4,1.4,,"1,264.2",,0.06,0.18,0.8,,,11,2,320,43,53,3.9,0.5,177
E028400,33,蔬菜,山東白菜,15,95.6,1.6,0.4,2,0.5,1.3,0.5,,18.3,,0,0.03,0.4,0.03,,19,44,120,10,34,0.3,0.2,29
E029400,34,蔬菜,川七,12,93.6,1.6,0.4,1.2,0.4,1.7,3.2,,"3,340.8",,0.01,0.13,0.3,0.06,,29,26,540,83,22,3.1,0.6,115
E030400,35,蔬菜,甘藍,23,93.5,1.2,0.3,4.4,0.5,1.3,0.6,,11.7,,0.02,0.02,0.3,0.07,,33,17,150,11,28,0.3,0.2,52
E030401,36,蔬菜,高麗菜,23,93.5,1.2,0.3,4.4,0.5,1.3,0.6,,5.7,,0.02,0.02,0.3,0.07,,33,17,150,11,28,0.3,0.2,52
